0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,target
0.7206464,-0.30023795,0.10924384,3.2096577,-1.2738256,3.4309576,-0.8518597,-3.2238286,0.0031116214,0.7626466,-0.8427774,1.9852428,-3.6378875,1.4447259,1.7876922,-4.5654116,12
0.07091792,-1.6261061,-0.3798772,3.2393298,-0.06442429,2.0975862,-0.6102438,-3.1057048,-0.5492103,-0.38832492,-0.5824381,2.3845208,-2.728581,-0.13155791,1.2864486,-3.659207,12
-0.54193884,-1.3324878,0.036973502,3.2941742,0.13235141,2.6347709,-0.7837838,-2.2525408,-0.7147253,0.019813083,-0.13908646,2.2737534,-2.374473,0.123658955,1.1607376,-3.5919132,12
-0.98459506,-1.8089777,0.34147865,3.606463,0.5660952,2.4699776,-0.40124807,-1.9100707,-0.9436838,-0.5898989,0.093809605,2.5554147,-1.7938191,0.06952056,0.8027696,-3.659266,12
-1.4005766,-2.8444636,0.28719613,3.5250478,0.70639527,2.6834254,-0.19393472,-1.5047727,-0.5085659,-0.45400766,0.33333388,2.1447167,-1.1570768,-0.3372013,0.20646776,-3.8980167,12
-2.2283258,-2.6430645,0.11330593,2.2230096,1.2640387,2.376651,0.76255846,-1.2901509,-0.99433315,-0.8617462,0.61969346,1.5972295,-0.84256107,-0.62983036,-0.22180818,-4.381752,12
-2.3599675,-2.7608159,0.07174453,1.5146092,1.0953168,2.0432434,1.6012077,-1.387671,-1.268205,-1.4807333,0.7885523,1.617152,-0.28236505,-0.5134657,-0.16644952,-4.910099,12
-2.8612754,-2.9455094,0.03403988,0.9789377,1.2398555,1.8674241,1.8725958,-1.3798003,-1.1043899,-1.5164627,1.1152886,1.3513789,0.20625475,-1.3229785,-1.0250856,-5.0369067,12
-3.4561863,-2.8984287,-0.33950198,0.22383542,1.1631268,0.30979258,1.7394019,-1.0088687,-0.9473177,-2.3969972,1.7626033,1.2440268,0.92423546,-1.3603256,-1.2412976,-5.1499043,12
-4.0084863,-2.5001643,0.06146669,0.55366814,1.548608,0.27667686,2.443528,-0.6012061,-1.2116948,-2.1490185,1.9879649,0.5724092,0.57138014,-1.4756767,-1.4965186,-4.5425577,12
-4.120178,-1.3900928,-0.4629137,0.08098746,1.3974663,0.9112977,2.6796176,0.55978405,-2.0353072,-1.8721635,2.15031,0.20394844,1.1258938,-1.2775586,-1.8987571,-5.005339,12
